TRC Number,Account Number,Account Type,Account Name,Post Date,Reference,Additional Reference,Amount,Description,Type,Text,
091101280,2000784,Checking,GENERAL,09/10/2024,"00000035487","00000035487",($220.15),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/10/2024,"00000035486","00000035486",($256.36),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/10/2024,"00000035484","00000035484",($2060.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/11/2024,"ALLPAID           ED","",$437.49,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240911            170170",
091101280,2000784,Checking,GENERAL,09/11/2024,"ALLPAID           ED","",$965.13,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240911            171171",
091101280,2000784,Checking,GENERAL,09/11/2024,"","",$20963.97,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/11/2024,"996000911084946","",($2334.31),"BOOK TRANSFER DEBIT",,"REF 2550849L      FUNDS TRANSFER TO DEP 2004448       FROM              941 DEPOSIT",
091101280,2000784,Checking,GENERAL,09/11/2024,"00000035485","00000035485",($3600.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/12/2024,"ALLPAID           ED","",$354.62,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240912            156156",
091101280,2000784,Checking,GENERAL,09/12/2024,"996000912061747","",($1475.00),"BOOK TRANSFER DEBIT",,"REF 2560617L      FUNDS TRANSFER TO DEP 213199        FROM              SEWERGEN TO SEW IMP",
091101280,2000784,Checking,GENERAL,09/12/2024,"996000912061748","",($1500.00),"BOOK TRANSFER DEBIT",,"REF 2560617L      FUNDS TRANSFER TO DEP 211409        FROM              WATERGEN TO WRRIF",
091101280,2000784,Checking,GENERAL,09/12/2024,"","",($4585.46),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    PAYROLL           2409121381892047",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000035483","00000035483",($108.36),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000035493","00000035493",($120.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000035501","00000035501",($440.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000035474","00000035474",($275.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000005279","00000005279",($308.99),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/13/2024,"00000005280","00000005280",($1613.10),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/16/2024,"ALLPAID           ED","",$97.28,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240916            139139",
091101280,2000784,Checking,GENERAL,09/16/2024,"ALLPAID           ED","",$131.16,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240916            140140",
091101280,2000784,Checking,GENERAL,09/16/2024,"00000035497","00000035497",($50.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/16/2024,"00000035499","00000035499",($273.64),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/16/2024,"00000035491","00000035491",($277.81),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/16/2024,"00000035495","00000035495",($4500.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/17/2024,"","",$51192.16,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/17/2024,"00000035500","00000035500",($350.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/17/2024,"00000035496","00000035496",($374.86),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/18/2024,"ALLPAID           ED","",$235.00,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240918            175175",
091101280,2000784,Checking,GENERAL,09/18/2024,"00000035466","00000035466",($20.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/18/2024,"996000918105952","",($30000.00),"BOOK TRANSFER DEBIT",,"REF 2621059L      FUNDS TRANSFER TO DEP 66795         FROM              9 1024 SALE OF LOT 64",
091101280,2000784,Checking,GENERAL,09/18/2024,"00000035489","00000035489",($120.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/18/2024,"00000035502","00000035502",($696.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/19/2024,"ALLPAID           ED","",$559.10,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240919            158158",
091101280,2000784,Checking,GENERAL,09/19/2024,"","",$4918.95,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/19/2024,"","",$7981.24,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/19/2024,"00000035506","00000035506",($222.01),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/19/2024,"00000035512","00000035512",($598.63),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/20/2024,"00000035494","00000035494",($64.10),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/20/2024,"00000035511","00000035511",($7035.25),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",$4611.78,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/23/2024,"DETOUR VILLAGE    WA","",$12504.46,"PREAUTHORIZED ACH CREDIT",Ach,"DETOUR VILLAGE    WATER/SEWR        2409231381892047",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($44.50),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923000349",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($96.32),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923001781",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($97.45),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923000213",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($99.48),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923000204",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($139.78),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923000131",
091101280,2000784,Checking,GENERAL,09/23/2024,"","",($266.00),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    WATER/SEWR        240923000484",
091101280,2000784,Checking,GENERAL,09/23/2024,"00000035509","00000035509",($28.36),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/24/2024,"00000035508","00000035508",($3169.67),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/24/2024,"00000035507","00000035507",($270.87),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/25/2024,"ALLPAID           ED","",$1701.86,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240925            166166",
091101280,2000784,Checking,GENERAL,09/25/2024,"","",$10431.00,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/25/2024,"00000035510","00000035510",($121.89),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/25/2024,"00000035513","00000035513",($330.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/26/2024,"ALLPAID           ED","",$152.97,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240926            144144",
091101280,2000784,Checking,GENERAL,09/26/2024,"","",($4647.66),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    PAYROLL           2409261381892047",
091101280,2000784,Checking,GENERAL,09/27/2024,"00000035514","00000035514",($559.10),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/27/2024,"996000927122702","",($11751.04),"BOOK TRANSFER DEBIT",,"REF 2711227L      FUNDS TRANSFER TO DEP 2004448       FROM              941 STATE MERS SALES TAX",
091101280,2000784,Checking,GENERAL,09/27/2024,"00000035503","00000035503",($233.12),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/27/2024,"00000035492","00000035492",($275.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/27/2024,"00000005281","00000005281",($1613.10),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/30/2024,"","",$4667.97,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/30/2024,"000000000000000","",$48.94,"INTEREST CREDIT",,"",
